區域,餐廳名,類別,評分,評論數,一,二,三,四,五,六,日,$
118巷,I’m Pasta 和平店,it,4.1,790,11:00-15:00/17:00-20:30,11:00-15:00/17:00-20:30,11:00-15:00/17:00-20:30,11:00-15:00/17:00-20:30,11:00-15:00/17:00-20:30,11:00-15:00/17:00-20:30,11:00-15:00/17:00-20:30,1
118巷,河內美食,koh,4.3,296,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-15:30,1
118巷,好餵健康餐盒,tw,4.1,63,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,x,x,1
118巷,馬祖麵館,tw,4,392,10:30-20:45,10:30-20:45,10:30-20:45,10:30-20:45,10:30-20:45,10:30-20:45,10:30-20:45,1
118巷,卡瓦利印度料理,koh,4.5,327,11:30-14:30/17:00-21:00,11:30-14:30/17:00-21:00,11:30-14:30/17:00-21:00,11:30-14:30/17:00-21:00,11:30-14:30/17:00-21:00,11:30-14:30/17:00-21:00,x,1
118巷,搗飛豆花,tw,4.3,445,12:00-22:30,12:00-22:30,12:00-22:30,12:00-22:30,12:00-22:30,12:00-22:30,12:00-22:30,1
118巷,忠誠山東蔥油餅,ch,4.1,431,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,x,11:00-20:30,11:00-20:30,1
118巷,Barkers,am,4.4,650,11:00-14:30/16:30-20:30,11:00-14:30/16:30-20:30,11:00-14:30/16:30-20:30,11:00-14:30/16:30-20:30,11:00-14:30/16:30-20:30,11:00-14:30/16:30-20:30,x,2
118巷,Oneway CAFE玩味咖啡,dr,4.6,392,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,1
118巷,采味食光,ch,4.3,682,11:45-14:00/17:15-20:30,11:45-14:00/17:15-20:30,11:45-14:00/17:15-20:30,11:45-14:00/17:15-20:30,11:45-14:00/17:15-20:30,11:30-14:00/17:15-20:30,11:30-14:00/17:15-20:30,2
118巷,貝倫烘焙餐坊,am,3.7,473,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,2
118巷,3隻貓頭鷹文創,am,4.2,1688,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:30,11:30-20:30,11:30-20:30,2
118巷,Stoppage Time 補時,dr,4.4,992,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,2
