區域,餐廳名,類別,評分,評論數,一,二,三,四,五,六,日,$
新生南路、溫州街,柒食貳,br,4.1,488,11:00-15:15/17:00-22:00,11:00-15:15/17:00-22:00,11:00-15:15/17:00-22:00,11:00-15:15/17:00-22:00,11:00-15:15/17:00-22:00,11:00-14:30/17:00-20:00,11:00-15:00/17:00-21:00,1
新生南路、溫州街,越南清化河粉,koh,4.3,582,x,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,1
新生南路、溫州街,泰街頭,koh,3.7,1788,11:30-14:30/17:00-21:00,11:30-14:30/17:00-21:00,11:30-14:30/17:00-21:00,11:30-14:30/17:00-21:00,11:30-14:30/17:00-21:00,11:30-14:30/17:00-21:00,11:30-14:30/17:00-21:00,2
新生南路、溫州街,我們的家,k,4.6,125,x,11:30-14:00/17:00-19:30,11:30-14:00/17:00-19:30,11:30-14:00/17:00-19:30,11:30-14:00/17:00-19:30,11:30-14:00/17:00-19:30,11:30-14:00/17:00-19:30,1
新生南路、溫州街,Henry&Cary手工巧克力店,fat,4.5,225,12:00-20:30,12:00-20:30,12:00-20:30,12:00-20:30,12:00-20:30,12:00-20:30,12:00-20:30,1
新生南路、溫州街,公館-咖哩先生,tw,4.4,309,x,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,2
新生南路、溫州街,POST霞飛驛歐法點餐,oth,4.2,965,11:00-14:30/17:00-21:30,11:00-14:30/17:00-21:30,x,11:00-14:30/17:00-21:30,11:00-14:30/17:00-21:30,11:00-21:30,11:00-21:30,2
新生南路、溫州街,蘇活義大利麵坊,it,4.2,676,11:30-13:30/17:30-21:30,11:30-13:30/17:30-19:30,11:30-13:30,11:30-13:30/17:30-19:30,11:30-13:30/17:30-19:30,11:30-13:30/17:30-19:30,11:30-13:30/17:30-19:30,2
新生南路、溫州街,璞田PureTime,tw,4.7,384,x,11:30-14:00/17:00-20:00,11:30-14:00/17:00-20:00,11:30-14:00/17:00-20:00,11:30-14:00/17:00-20:00,11:30-14:00/17:00-20:00,x,1
新生南路、溫州街,稻咖哩,j,4.5,1042,x,11:30-14:30/17:00-20:00,11:30-14:30/17:00-20:00,11:30-14:30/17:00-20:00,11:30-14:30/17:00-20:00,11:30-14:30/17:00-20:00,11:30-14:30/17:00-20:00,2
新生南路、溫州街,璞豆咖啡.日常,dr,4.7,188,x,12:00–20:00,12:00–20:00,12:00–20:00,12:00–20:00,12:00–20:00,12:00–20:00,2
新生南路、溫州街,picnic cafe 野餐咖啡,dr,4.4,921,12:00-22:00,12:00-22:00,x,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,2
新生南路、溫州街,鳳城燒臘粵菜,hk,4,4332,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,1
新生南路、溫州街,聞山咖啡 臺大店,dr,4.6,443,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,2
新生南路、溫州街,達文西咖啡 - 溫州店,dr,4.6,328,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-21:00,10:00-21:00,10:00-19:00,2
新生南路、溫州街,Finca Void,dr,4.5,2,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,1
新生南路、溫州街,女巫店,dr,4.3,786,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,11:00-22:00,11:00-22:00,2
新生南路、溫州街,Rebirth Cafe & Restaurant,tw,4.3,560,14:00-02:00,14:00-02:00,14:00-02:00,14:00-02:00,14:00-02:00,14:00-02:00,14:00-02:00,2
新生南路、溫州街,樹下蘇活,it,4.7,178,11:30-15:30/17:30-22:00,x,11:30-15:30/17:30-22:00,11:30-15:30/17:30-22:00,11:30-15:30/17:00-22:00,11:30-15:30/17:30-22:00,11:30-15:30/17:30-22:00,2
新生南路、溫州街,AGCT apartment,dr,4.4,443,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,2
新生南路、溫州街,Mr.BRUNO,fat,4.7,335,x,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-18:00,2
新生南路、溫州街,葛樂蒂咖啡館,dr,4.4,624,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,2
新生南路、溫州街,羊跳蚤,dr,4.6,25,12:00-01:00,12:00-01:00,12:00-01:00,12:00-01:00,12:00-01:00,12:00-01:00,12:00-01:00,1
