區域,餐廳名,類別,評分,評論數,一,二,三,四,五,六,日,$
公館、水源,雪球咖啡,br,4.4,330,06:30-15:00,06:30-15:00,x,06:30-15:00,06:30-15:00,06:30-15:00,06:30-15:00,1
公館、水源,新馬辣經典麻辣鍋,tw,4.6,5939,00:00-02:00/11:30-24:00,00:00-02:00/11:30-24:00,00:00-02:00/11:30-24:00,00:00-02:00/11:30-24:00,00:00-02:00/11:30-24:00,00:00-02:00/11:30-24:00,00:00-02:00/11:30-24:00,3
公館、水源,達美樂,am,3.7,116,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,2
公館、水源,炸鷄大獅,tw,4.4,563,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,1
公館、水源,Half coffee,fat,4.8,206,09:00-18:00,09:00-18:00,09:00-18:00,x,09:00-18:00,09:00-18:00,09:00-18:00,1
公館、水源,得記麻辣脆皮臭豆腐,tw,4.1,1252,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,1
公館、水源,89 LOOP Sports Bar,am,4.9,2141,00:00-04:00/19:00-24:00,00:00-04:00/19:00-24:00,00:00-04:00/19:00-24:00,00:00-04:00/19:00-24:00,00:00-04:00/19:00-24:00,00:00-04:00/19:00-24:00,00:00-04:00/19:00-24:00,2
公館、水源,Box巴克斯韭菜盒子蛋餅,tw,4.3,329,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,1
公館、水源,卜乘輕食滷味,tw,4.1,184,11:50-21:30,11:50-21:30,11:50-21:30,11:50-21:30,11:50-21:30,11:50-21:30,11:50-21:30,1
公館、水源,45 Old Bar Coffee,am,4.1,1200,00:00-02:00,x,18:00-24:00,00:00-02:00/18:00-24:00,00:00-02:00/18:00-24:00,00:00-02:00/18:00-24:00,00:00-02:00/18:00-24:00,2
公館、水源,STARBUCKS 星巴克,dr,4,1393,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,2
公館、水源,小日子商号,dr,4.2,279,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,1
公館、水源,樂圓,fat,5,116,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,x,1
公館、水源,小椿日和,fat,4,58,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,1
公館、水源,五桐號Wootea,dr,4.4,484,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,1
公館、水源,墾丁蛋蛋ㄉㄨㄞ奶,dr,4.2,1045,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-23:30,11:30-23:30,11:30-22:30,1
公館、水源,TrueWin初韻,dr,4.8,574,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,1
公館、水源,騰堂麵包茶飲,fat,4.6,267,10:30-20:00,10:30-20:00,10:30-20:00,x,10:30-20:00,10:30-20:00,10:30-20:00,1
公館、水源,一之軒,fat,4.2,333,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,2
公館、水源,怪舒芙 Monster Souffle,fat,4.4,91,x,16:00-23:00,16:00-23:00,16:00-23:00,16:00-23:00,16:00-23:00,16:00-23:00,1
公館、水源,鴉片粉圓,fat,3.7,1619,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,1
